"","nobs","nsim","cr1w","cr1u","sel.cri","lm","heck.noinst","heck.inst"
"209",500,53,0,0,0,-0.182944300495974,-0.0887011690779522,-0.017410774279667
"210",1100,53,0,0,0,-0.245285351350886,-0.303343860067485,-0.0478151486512256
"211",3000,53,0,0,0,-0.169174107277916,-0.0421006729516482,-0.00440358056795487
"212",8200,53,0,0,0,-0.200758255808178,0.000816466355281875,-0.0093529340012497
"213",500,54,0,0,0,-0.259168675063003,-0.27115038321422,-0.0944237402245831
"214",1100,54,0,0,0,-0.127089432326189,-0.297150197551461,0.0801254469633328
"215",3000,54,0,0,0,-0.207319472702254,0.0152539377247585,-0.0250486521526944
"216",8200,54,0,0,0,-0.179735046885671,-0.0382809625235037,0.00719733907003595
"217",500,55,0,0,0,-0.270817062328855,-0.293867946865745,-0.107533299091061
"218",1100,55,0,0,0,-0.103292091705749,-0.300722644964043,0.0709575146144923
"219",3000,55,0,0,0,-0.183912693157648,-0.266057758050756,0.0175189691722406
"220",8200,55,0,0,0,-0.195516495490121,-0.029897704437138,-0.00298133363026742
"221",500,56,0,0,0,-0.270108515085833,-0.00853341810876107,-0.0535550255266387
"222",1100,56,0,0,0,-0.203420039145304,0.00475363590599809,-0.0262496669779428
"223",3000,56,0,0,0,-0.197372674802136,-0.00852935688220469,-0.0310800395197235
"224",8200,56,0,0,0,-0.177547348394821,-0.00145000933008377,-0.000963173809328532
"225",500,57,0,0,0,-0.156984158698509,0.178730006272851,0.0851431839813774
"226",1100,57,0,0,0,-0.190318260315807,-0.120703125594797,-0.0594592961817053
"227",3000,57,0,0,0,-0.227128808015987,-0.0488508834377306,-0.0541281253671564
"228",8200,57,0,0,0,-0.188606871882347,0.0703525148655526,0.0135614144989147
"229",500,58,0,0,0,-0.167408891727665,0.0518407836451673,-0.0209627402026717
"230",1100,58,0,0,0,-0.177374612218329,0.0904068117906576,0.0405774542252242
"231",3000,58,0,0,0,-0.235856429547794,-0.0241438487483,-0.0531537847096518
